mois,region,authorType,depts,participants,refs,question,oui,non,vide,mots-cles,occurrences,type,link
janvier,Nouvelle-Aquitaine,Citoyen / Citoyenne,"16=96,17=329,19=100,23=65,24=200,33=883,40=200,47=133,64=334,79=109,86=184,87=162",2795,2795,Q1,no,no,no,"personne=366,confiance=272,citoyens=243,maires=228,députés=224,député=213,politique=164,politiques=157,président=151,pouvoir=148",2166,ou,solo
janvier,Nouvelle-Aquitaine,Citoyen / Citoyenne,"16=96,17=329,19=100,23=65,24=200,33=883,40=200,47=133,64=334,79=109,86=184,87=162",2795,2795,Q2,1392,1038,365,no,no,fe,solo
janvier,Nouvelle-Aquitaine,Citoyen / Citoyenne,"16=96,17=329,19=100,23=65,24=200,33=883,40=200,47=133,64=334,79=109,86=184,87=162",2795,2795,Q3,no,no,no,"associations=767,syndicats=450,organisations=253,syndicales=158,citoyens=145,association=109,toutes=108,pouvoir=108,doivent=95,professionnelles=90",2283,ou,Q2
janvier,Nouvelle-Aquitaine,Citoyen / Citoyenne,"16=96,17=329,19=100,23=65,24=200,33=883,40=200,47=133,64=334,79=109,86=184,87=162",2795,2795,Q4,no,no,no,"citoyens=681,qu'ils=326,politique=294,soient=274,députés=212,mandat=208,pouvoir=166,chaque=164,doivent=163,citoyen=157",2645,ou,solo
janvier,Nouvelle-Aquitaine,Citoyen / Citoyenne,"16=96,17=329,19=100,23=65,24=200,33=883,40=200,47=133,64=334,79=109,86=184,87=162",2795,2795,Q5,no,no,no,"Une bonne chose=1938,Une mauvaise chose=308,=303,Je ne sais pas=246",2795,sp,solo
janvier,Nouvelle-Aquitaine,Citoyen / Citoyenne,"16=96,17=329,19=100,23=65,24=200,33=883,40=200,47=133,64=334,79=109,86=184,87=162",2795,2795,Q6,no,no,no,"mandat=424,mandats=415,politique=250,député=230,travail=198,plusieurs=162,terrain=159,députés=150,permet=145,citoyens=131",2264,ou,Q5
janvier,Nouvelle-Aquitaine,Citoyen / Citoyenne,"16=96,17=329,19=100,23=65,24=200,33=883,40=200,47=133,64=334,79=109,86=184,87=162",2795,2795,Q7,no,no,no,"proportionnelle=1242,élections=224,politiques=189,politique=175,partis=171,citoyens=144,députés=130,majorité=125,instaurer=120,sensibilités=115",2635,ou,solo
janvier,Nouvelle-Aquitaine,Citoyen / Citoyenne,"16=96,17=329,19=100,23=65,24=200,33=883,40=200,47=133,64=334,79=109,86=184,87=162",2795,2795,Q8,1804,600,391,no,no,fe,solo
janvier,Nouvelle-Aquitaine,Citoyen / Citoyenne,"16=96,17=329,19=100,23=65,24=200,33=883,40=200,47=133,64=334,79=109,86=184,87=162",2795,2795,Q9,no,no,no,"députés=495,sénateurs=452,communes=438,nombre=385,conseillers=326,supprimer=238,départementaux=234,régionaux=225,réduire=218,régions=207",3218,ou,Q8
janvier,Nouvelle-Aquitaine,Citoyen / Citoyenne,"16=96,17=329,19=100,23=65,24=200,33=883,40=200,47=133,64=334,79=109,86=184,87=162",2795,2795,Q10,no,no,no,"obligatoire=832,citoyens=460,rendre=431,participation=318,élections=277,compte=275,politique=239,politiques=186,faible=133,citoyen=132",3283,ou,solo
janvier,Nouvelle-Aquitaine,Citoyen / Citoyenne,"16=96,17=329,19=100,23=65,24=200,33=883,40=200,47=133,64=334,79=109,86=184,87=162",2795,2795,Q11,2080,382,333,no,no,fe,solo
janvier,Nouvelle-Aquitaine,Citoyen / Citoyenne,"16=96,17=329,19=100,23=65,24=200,33=883,40=200,47=133,64=334,79=109,86=184,87=162",2795,2795,Q12,no,no,no,"blancs=327,candidats=306,élection=247,compte=240,l'élection=211,candidat=205,élections=193,majorité=192,exprimés=180,pourcentage=165",2266,ou,Q11
janvier,Nouvelle-Aquitaine,Citoyen / Citoyenne,"16=96,17=329,19=100,23=65,24=200,33=883,40=200,47=133,64=334,79=109,86=184,87=162",2795,2795,Q13,no,no,no,"citoyens=696,référendum=579,décisions=188,internet=187,référendums=183,sujets=170,mettre=169,démocratie=166,compte=164,exemple=160",2662,ou,solo
janvier,Nouvelle-Aquitaine,Citoyen / Citoyenne,"16=96,17=329,19=100,23=65,24=200,33=883,40=200,47=133,64=334,79=109,86=184,87=162",2795,2795,Q14,1289,638,868,no,no,fe,solo
janvier,Nouvelle-Aquitaine,Citoyen / Citoyenne,"16=96,17=329,19=100,23=65,24=200,33=883,40=200,47=133,64=334,79=109,86=184,87=162",2795,2795,Q15,no,no,no,"référendum=289,citoyens=238,nombre=212,déclenchement=108,question=101,parlementaires=97,sujets=96,questions=87,parlement=84,signatures=82",1394,ou,Q14
