mois,region,authorType,depts,participants,refs,question,oui,non,vide,mots-cles,occurrences,type,link
janvier,Ile-de-France,Citoyen / Citoyenne,"75=2990,77=893,78=1657,91=944,92=1821,93=525,94=968,95=718",10516,10516,Q1,no,no,no,"dépenses=1982,chaque=1415,citoyens=851,budget=747,transparence=670,l'état=666,l'utilisation=650,publiques=593,exemple=558,répartition=519",8651,ou,solo
janvier,Ile-de-France,Citoyen / Citoyenne,"75=2990,77=893,78=1657,91=944,92=1821,93=525,94=968,95=718",10516,10516,Q2,no,no,no,"revenus=3068,revenu=3014,fiscale=1953,france=1740,entreprises=1706,supprimer=1586,fiscales=1564,niches=1369,fiscalité=1337,français=1319",18656,ou,solo
janvier,Ile-de-France,Citoyen / Citoyenne,"75=2990,77=893,78=1657,91=944,92=1821,93=525,94=968,95=718",10516,10516,Q3,no,no,no,"revenu=1709,produits=1627,baisser=999,nécessité=865,revenus=765,supprimer=754,première=730,d'habitation=693,entreprises=552,charges=434",9128,ou,solo
janvier,Ile-de-France,Citoyen / Citoyenne,"75=2990,77=893,78=1657,91=944,92=1821,93=525,94=968,95=718",10516,10516,Q4,no,no,no,"sociales=6069,revoir=5552,conditions=5430,certaines=5424,d'attribution=5360,augmenter=3564,retraite=3315,travail=3174,reculer=2832,dépenses=602",41322,ou,solo
janvier,Ile-de-France,Citoyen / Citoyenne,"75=2990,77=893,78=1657,91=944,92=1821,93=525,94=968,95=718",10516,10516,Q5,no,no,no,"allocations=1993,familiales=1433,sociales=1241,toutes=1067,personnes=909,enfants=873,doivent=674,travail=659,revenus=590,logement=564",10003,ou,solo
janvier,Ile-de-France,Citoyen / Citoyenne,"75=2990,77=893,78=1657,91=944,92=1821,93=525,94=968,95=718",10516,10516,Q6,no,no,no,"personnes=1259,sociale=596,logement=574,dépendance=559,protection=554,retraite=501,enfants=413,handicap=365,retraites=329,handicapés=319",5469,ou,solo
janvier,Ile-de-France,Citoyen / Citoyenne,"75=2990,77=893,78=1657,91=944,92=1821,93=525,94=968,95=718",10516,10516,Q7,no,no,no,"aucune=775,l'éducation=536,éducation=430,sécurité=417,justice=401,france=348,transition=344,recherche=341,dépenses=327,education=326",4245,ou,solo
janvier,Ile-de-France,Citoyen / Citoyenne,"75=2990,77=893,78=1657,91=944,92=1821,93=525,94=968,95=718",10516,10516,Q8,no,no,no,"dépenses=1633,france=1454,entreprises=1223,supprimer=1151,réduire=981,fonctionnaires=953,français=945,revenus=890,retraite=886,revenu=848",10964,ou,solo
janvier,Ile-de-France,,"75=143,77=35,78=67,91=31,92=68,93=18,94=35,95=26",423,423,Q1,no,no,no,"citoyens=49,dépenses=48,chaque=40,publiques=24,l'utilisation=21,budget=21,internet=18,l'état=17,donner=17,transparence=16",271,ou,solo
janvier,Ile-de-France,,"75=143,77=35,78=67,91=31,92=68,93=18,94=35,95=26",423,423,Q2,no,no,no,"revenu=102,revenus=97,supprimer=72,fiscales=57,fiscale=57,niches=48,tranches=47,entreprises=46,produits=44,france=42",612,ou,solo
janvier,Ile-de-France,,"75=143,77=35,78=67,91=31,92=68,93=18,94=35,95=26",423,423,Q3,no,no,no,"produits=70,revenu=55,baisser=36,nécessité=35,première=34,supprimer=31,revenus=23,d'habitation=17,entreprises=14,baisse=14",329,ou,solo
janvier,Ile-de-France,,"75=143,77=35,78=67,91=31,92=68,93=18,94=35,95=26",423,423,Q4,no,no,no,"sociales=196,revoir=172,certaines=170,conditions=169,d'attribution=169,augmenter=130,retraite=107,travail=107,reculer=87,dépenses=25",1332,ou,solo
