mois,region,authorType,depts,participants,refs,question,oui,non,vide,mots-cles,occurrences,type,link
janvier,Nouvelle-Aquitaine,Citoyen / Citoyenne,"16=127,17=381,19=104,23=77,24=241,33=919,40=258,47=167,64=406,79=155,86=180,87=172",3187,3187,Q169,no,no,no,"services=476,communes=389,fonctionnaires=332,nombre=315,régions=305,citoyens=299,supprimer=269,administrations=264,l'etat=243,service=242",3134,ou,solo
janvier,Nouvelle-Aquitaine,Citoyen / Citoyenne,"16=127,17=381,19=104,23=77,24=241,33=919,40=258,47=167,64=406,79=155,86=180,87=172",3187,3187,Q170,1141,965,1081,no,no,fe,solo
janvier,Nouvelle-Aquitaine,Citoyen / Citoyenne,"16=127,17=381,19=104,23=77,24=241,33=919,40=258,47=167,64=406,79=155,86=180,87=172",3187,3187,Q171,no,no,no,"collectivités=140,missions=137,régions=133,gestion=94,vitesse=92,l'etat=88,l'état=83,sécurité=81,routes=79,toutes=79",1006,ou,Q170
janvier,Nouvelle-Aquitaine,Citoyen / Citoyenne,"16=127,17=381,19=104,23=77,24=241,33=919,40=258,47=167,64=406,79=155,86=180,87=172",3187,3187,Q204,1519,738,930,no,no,fe,solo
janvier,Nouvelle-Aquitaine,Citoyen / Citoyenne,"16=127,17=381,19=104,23=77,24=241,33=919,40=258,47=167,64=406,79=155,86=180,87=172",3187,3187,Q172,no,no,no,"services=276,publics=130,service=114,transports=90,internet=87,public=84,personnes=59,manque=58,commun=54,médecins=52",1004,ou,Q204
janvier,Nouvelle-Aquitaine,Citoyen / Citoyenne,"16=127,17=381,19=104,23=77,24=241,33=919,40=258,47=167,64=406,79=155,86=180,87=172",3187,3187,Q174,no,no,no,"internet=430,services=246,démarches=204,toutes=159,service=117,personnes=97,publics=77,pouvoir=75,numérique=60,administratives=59",1524,ou,solo
janvier,Nouvelle-Aquitaine,Citoyen / Citoyenne,"16=127,17=381,19=104,23=77,24=241,33=919,40=258,47=167,64=406,79=155,86=180,87=172",3187,3187,Q175,604,1574,1009,no,no,fe,solo
janvier,Nouvelle-Aquitaine,Citoyen / Citoyenne,"16=127,17=381,19=104,23=77,24=241,33=919,40=258,47=167,64=406,79=155,86=180,87=172",3187,3187,Q176,413,248,2526,no,no,fe,Q175
janvier,Nouvelle-Aquitaine,Citoyen / Citoyenne,"16=127,17=381,19=104,23=77,24=241,33=919,40=258,47=167,64=406,79=155,86=180,87=172",3187,3187,Q177,no,no,no,"services=246,publics=137,service=113,agents=91,public=90,personnes=72,internet=69,maisons=50,développer=47,personnel=34",949,ou,solo
janvier,Nouvelle-Aquitaine,Citoyen / Citoyenne,"16=127,17=381,19=104,23=77,24=241,33=919,40=258,47=167,64=406,79=155,86=180,87=172",3187,3187,Q178,no,no,no,"services=278,internet=178,service=153,france=114,démarches=85,impots=73,drapeau=73,publics=71,public=68,sécurité=64",1157,ou,solo
janvier,Nouvelle-Aquitaine,Citoyen / Citoyenne,"16=127,17=381,19=104,23=77,24=241,33=919,40=258,47=167,64=406,79=155,86=180,87=172",3187,3187,Q179,no,no,no,"services=342,service=179,emploi=143,nationale=130,justice=126,l'éducation=120,public=112,publics=89,doivent=87,transports=86",1414,ou,solo
janvier,Nouvelle-Aquitaine,Citoyen / Citoyenne,"16=127,17=381,19=104,23=77,24=241,33=919,40=258,47=167,64=406,79=155,86=180,87=172",3187,3187,Q180,1735,460,992,no,no,fe,solo
janvier,Nouvelle-Aquitaine,Citoyen / Citoyenne,"16=127,17=381,19=104,23=77,24=241,33=919,40=258,47=167,64=406,79=155,86=180,87=172",3187,3187,Q181,155,1760,1272,no,no,fe,Q180
janvier,Nouvelle-Aquitaine,Citoyen / Citoyenne,"16=127,17=381,19=104,23=77,24=241,33=919,40=258,47=167,64=406,79=155,86=180,87=172",3187,3187,Q182,no,no,no,"déclaration=64,erreur=28,l'erreur=28,revenus=22,paiement=13,revenu=11,l'administration=11,jamais=11,fiscale=10,toujours=9",207,ou,Q180
janvier,Nouvelle-Aquitaine,Citoyen / Citoyenne,"16=127,17=381,19=104,23=77,24=241,33=919,40=258,47=167,64=406,79=155,86=180,87=172",3187,3187,Q183,no,no,no,"demande=108,permis=90,règles=87,déclaration=80,documents=73,dossier=64,construire=63,exemple=59,internet=56,l'administration=47",727,ou,solo
